Ano,Homicídio Doloso por 100 mil habitantes,Furto por 100 mil habitantes,Roubo por 100 mil habitantes,Furto e Roubo de Veículo por 100 mil habitantes,Furto por 100 mil veículos,Roubo por 100 mil veículos,Furto e Roubo de Veículo por 100 mil veículos,Cidade,Regiao
"2015,""10,96"",""544,33"",""1.024,72"",""372,10"",""376,30"",""429,41"",""805,70"",Carapicuíba,Grande São Paulo (exclui a Capital)"
"2016,""9,34"",""558,53"",""980,87"",""343,21"",""344,27"",""379,85"",""724,11"",Carapicuíba,Grande São Paulo (exclui a Capital)"
"2017,""7,22"",""467,59"",""939,04"",""353,85"",""336,15"",""392,44"",""728,60"",Carapicuíba,Grande São Paulo (exclui a Capital)"
"2018,""7,43"",""451,05"",""848,31"",""358,07"",""411,31"",""309,25"",""720,56"",Carapicuíba,Grande São Paulo (exclui a Capital)"
"1999,""44,18"",""825,32"",""722,95"",""706,12"",-,-,-,Cotia,Grande São Paulo (exclui a Capital)"
"2000,""42,00"",""943,61"",""737,68"",""802,03"",-,-,-,Cotia,Grande São Paulo (exclui a Capital)"
"2001,""52,60"",""944,28"",""703,34"",""764,39"",""1.254,05"",""2.311,21"",""3.565,26"",Cotia,Grande São Paulo (exclui a Capital)"
"2002,""53,36"",""958,65"",""576,95"",""663,58"",""1.068,36"",""1.819,77"",""2.888,14"",Cotia,Grande São Paulo (exclui a Capital)"
"2003,""49,20"",""1.003,51"",""468,95"",""391,20"",""577,53"",""1.039,55"",""1.617,08"",Cotia,Grande São Paulo (exclui a Capital)"
"2004,""35,31"",""993,96"",""399,59"",""335,44"",""573,07"",""723,15"",""1.296,22"",Cotia,Grande São Paulo (exclui a Capital)"
"2005,""28,57"",""870,68"",""407,92"",""397,63"",""714,05"",""734,87"",""1.448,91"",Cotia,Grande São Paulo (exclui a Capital)"
"2006,""22,22"",""880,27"",""370,99"",""351,55"",""557,07"",""630,22"",""1.187,28"",Cotia,Grande São Paulo (exclui a Capital)"
"2007,""17,29"",""757,51"",""410,10"",""265,29"",""372,59"",""440,48"",""813,08"",Cotia,Grande São Paulo (exclui a Capital)"
"2008,""15,25"",""672,10"",""381,80"",""249,80"",""319,63"",""380,03"",""699,66"",Cotia,Grande São Paulo (exclui a Capital)"
"2009,""11,78"",""636,87"",""446,94"",""282,09"",""313,92"",""412,84"",""726,76"",Cotia,Grande São Paulo (exclui a Capital)"
"2010,""14,95"",""630,96"",""436,59"",""299,03"",""366,40"",""320,60"",""686,99"",Cotia,Grande São Paulo (exclui a Capital)"
"2011,""9,74"",""636,65"",""460,32"",""366,79"",""398,39"",""363,00"",""761,40"",Cotia,Grande São Paulo (exclui a Capital)"
"2012,""11,43"",""601,29"",""529,41"",""337,54"",""266,00"",""377,66"",""643,66"",Cotia,Grande São Paulo (exclui a Capital)"
"2013,""13,49"",""618,40"",""576,52"",""393,19"",""276,28"",""431,17"",""707,45"",Cotia,Grande São Paulo (exclui a Capital)"
"2014,""15,01"",""552,10"",""614,86"",""374,74"",""219,39"",""462,80"",""682,19"",Cotia,Grande São Paulo (exclui a Capital)"
"2015,""13,78"",""640,95"",""634,72"",""347,59"",""240,87"",""362,86"",""603,73"",Cotia,Grande São Paulo (exclui a Capital)"
"2016,""3,92"",""692,11"",""586,13"",""262,97"",""162,41"",""288,89"",""451,30"",Cotia,Grande São Paulo (exclui a Capital)"
"2017,""12,41"",""759,08"",""702,17"",""251,60"",""152,11"",""275,83"",""427,94"",Cotia,Grande São Paulo (exclui a Capital)"
"2018,""6,25"",""715,47"",""640,00"",""345,64"",""213,67"",""369,01"",""582,68"",Cotia,Grande São Paulo (exclui a Capital)"
"1999,""102,82"",""568,96"",""736,05"",""970,54"",-,-,-,Diadema,Grande São Paulo (exclui a Capital)"
"2000,""76,15"",""524,07"",""671,32"",""976,21"",-,-,-,Diadema,Grande São Paulo (exclui a Capital)"
"2001,""65,76"",""663,44"",""707,29"",""813,00"",""1.695,66"",""3.257,76"",""4.953,42"",Diadema,Grande São Paulo (exclui a Capital)"
"2002,""51,13"",""754,30"",""658,64"",""680,35"",""1.625,05"",""2.201,78"",""3.826,83"",Diadema,Grande São Paulo (exclui a Capital)"
"2003,""43,06"",""801,48"",""813,75"",""678,03"",""1.772,63"",""1.775,48"",""3.548,10"",Diadema,Grande São Paulo (exclui a Capital)"
"2004,""35,95"",""658,97"",""582,20"",""553,82"",""1.379,88"",""1.289,97"",""2.669,85"",Diadema,Grande São Paulo (exclui a Capital)"
"2005,""28,16"",""759,01"",""731,92"",""639,66"",""1.217,72"",""1.564,14"",""2.781,86"",Diadema,Grande São Paulo (exclui a Capital)"
"2006,""20,77"",""818,94"",""764,90"",""654,41"",""1.179,08"",""1.450,84"",""2.629,92"",Diadema,Grande São Paulo (exclui a Capital)"
"2007,""21,15"",""864,76"",""862,65"",""651,94"",""1.011,16"",""1.347,90"",""2.359,06"",Diadema,Grande São Paulo (exclui a Capital)"
